,year,language,count
257,2012,Portuguese - Brazil,19
80,2006,French,18
196,2010,Polish,18
165,2009,Japanese,18
315,2014,Romanian,17
371,2016,Not supported,17
81,2006,German,17
282,2013,Norwegian,17
260,2012,Simplified Chinese,17
265,2012,Traditional Chinese,17
305,2014,Greek,16
348,2015,Spanish - Latin America,15
93,2006,Spanish - Spain,15
213,2011,Czech,15
321,2014,Thai,15
84,2006,Italian,15
271,2013,Danish,15
141,2008,Russian,15
295,2013,Ukrainian,14
297,2014,Bulgarian,14
296,2014,Arabic,13
193,2010,Japanese,13
155,2009,Czech,13
341,2015,Not supported,13
274,2013,Finnish,13
138,2008,Polish,12
266,2012,Turkish,12
256,2012,Portuguese,11
227,2011,Portuguese,11
91,2006,Russian,10
185,2010,Dutch,10
249,2012,Hungarian,10
169,2009,Portuguese,10
178,2009,Traditional Chinese,10
318,2014,Spanish - Latin America,10
183,2010,Czech,10
215,2011,Dutch,10
224,2011,Korean,10
236,2011,Traditional Chinese,10
166,2009,Korean,9
117,2007,Russian,9
243,2012,Dutch,9
163,2009,Hungarian,9
231,2011,Simplified Chinese,9
385,2016,Vietnamese,9
176,2009,Swedish,8
88,2006,Polish,8
157,2009,Dutch,8
125,2008,Czech,8
286,2013,Romanian,8
191,2010,Hungarian,7
237,2011,Turkish,7
263,2012,Swedish,7
268,2013,Arabic,7
289,2013,Spanish - Latin America,6
355,2015,Vietnamese,6
75,2006,Czech,6
173,2009,Simplified Chinese,6
147,2008,Traditional Chinese,6
85,2006,Japanese,5
51,2004,English,5
26,2001,English,5
201,2010,Simplified Chinese,5
68,2005,English,5
96,2006,Traditional Chinese,5
170,2009,Portuguese - Brazil,5
234,2011,Swedish,5
111,2007,Korean,5
113,2007,Polish,5
242,2012,Danish,5
228,2011,Portuguese - Brazil,5
156,2009,Danish,5
134,2008,Japanese,5
127,2008,Dutch,5
142,2008,Simplified Chinese,5
277,2013,Greek,5
66,2004,Traditional Chinese,4
55,2004,Italian,4
57,2004,Korean,4
54,2004,German,4
62,2004,Simplified Chinese,4
63,2004,Spanish - Spain,4
53,2004,French,4
194,2010,Korean,4
86,2006,Korean,4
92,2006,Simplified Chinese,4
110,2007,Japanese,4
122,2007,Traditional Chinese,4
132,2008,Hungarian,4
292,2013,Thai,4
139,2008,Portuguese,4
146,2008,Swedish,4
245,2012,Finnish,4
240,2012,Bulgarian,4
221,2011,Hungarian,4
207,2010,Traditional Chinese,4
205,2010,Swedish,4
136,2008,Korean,4
269,2013,Bulgarian,3
154,2009,Bulgarian,3
184,2010,Danish,3
102,2007,Dutch,3
101,2007,Danish,3
197,2010,Portuguese,3
112,2007,Norwegian,3
114,2007,Portuguese,3
179,2009,Turkish,3
177,2009,Thai,3
28,2001,German,3
167,2009,Norwegian,3
118,2007,Simplified Chinese,3
159,2009,Finnish,3
214,2011,Danish,3
217,2011,Finnish,3
104,2007,Finnish,3
120,2007,Swedish,3
248,2012,Greek,3
267,2012,Ukrainian,3
258,2012,Romanian,3
56,2004,Japanese,3
253,2012,Norwegian,3
43,2003,English,3
61,2004,Russian,3
65,2004,Thai,3
27,2001,French,2
25,2000,Traditional Chinese,2
124,2007,Ukrainian,2
108,2007,Hungarian,2
126,2008,Danish,2
24,2000,Spanish - Spain,2
129,2008,Finnish,2
95,2006,Thai,2
94,2006,Swedish,2
100,2007,Czech,2
311,2014,Not supported,2
46,2003,Italian,2
45,2003,German,2
44,2003,French,2
69,2005,French,2
70,2005,German,2
71,2005,Italian,2
73,2005,Spanish - Spain,2
76,2006,Danish,2
77,2006,Dutch,2
79,2006,Finnish,2
83,2006,Hungarian,2
87,2006,Norwegian,2
89,2006,Portuguese,2
33,2001,Spanish - Spain,2
143,2008,Slovakian,2
23,2000,Simplified Chinese,2
140,2008,Portuguese - Brazil,2
48,2003,Spanish - Spain,2
261,2012,Spanish - Latin America,2
212,2011,Bulgarian,2
229,2011,Romanian,2
232,2011,Spanish - Latin America,2
209,2010,Ukrainian,2
208,2010,Turkish,2
235,2011,Thai,2
8,1999,English,2
9,1999,French,2
10,1999,German,2
238,2011,Ukrainian,2
12,1999,Korean,2
225,2011,Norwegian,2
254,2012,Not supported,2
239,2012,Arabic,2
19,2000,German,2
180,2009,Ukrainian,2
21,2000,Korean,2
174,2009,Spanish - Latin America,2
20,2000,Italian,2
171,2009,Romanian,2
162,2009,Greek,2
181,2009,Vietnamese,2
152,2009,German,2
17,2000,English,2
18,2000,French,2
3,1998,Italian,1
38,2002,German,1
2,1998,German,1
39,2002,Italian,1
40,2002,Polish,1
41,2002,Russian,1
42,2002,Spanish - Spain,1
37,2002,French,1
47,2003,Polish,1
36,2002,English,1
30,2001,Korean,1
16,1999,Traditional Chinese,1
